LocationID,SystemID,LocationName,BillingCode,ServiceDescription,GrossCharge,DeidentifiedMaximumCharge,DeidentifiedMinimumCharge,DerivedContractedRate,DiscountedCashPrice,AetnaBetterHealthMedicaidHMO,AetnaCommercialHMOPOS,AetnaCommercialPPOOpenAccess,AetnaMedicaidHMO,AetnaMedicareAdvantageHMO,AetnaMedicareMedicareAdvantageHMO,AmbetterMedicaidHMO,BCBSCommercialHMOPOS,BlueCrossBlueShieldCommercialHMOPOS,BlueCrossBlueShieldCommercialPPOOpenAccess,BlueCrossBlueShieldIPACommercialHMOPOS,BlueCrossBlueShieldMedicaidMedicaidHMO,BlueCrossBlueShieldMedicareMedicareAdvantageHMO,CignaCommercialHMOPOS,CignaCommercialPPOOpenAccess,CignaMedicareAdvantageHMO,CountyCareMedicaidHMO,GEHACommercialHMOPOS,GenericCommercialother,HumanaCommercialHMOPOS,HumanaCommercialHMOPOS2nd,HumanaCommercialPPOOpenAccess,HumanaMedicareMedicareAdvantageHMO,IllinicareMedicaidHMO,MedicaidHMOOutofState,MedicaidMedicaid,MedicareAdvantageHMO,MedicareMedicare,MeridianMedicaidHMO,MolinaMedicaidHMO,OptumCommercialPPOOpenAccess,PhysiciansMutualCommercialother,TricareCommercialHMOPOS,Type,UHCCommercialother,UMRCommercialPPOOpenAccess,UMRCommercialPPOOpenAccess2nd,UnitedHealhCareCommercialOther,UnitedHealthCareCommercialHMOPOS,UnitedHealthCareCommercialPPOOpenAccess,UnitedHealthCareMedicaidMedicaidHMO,UnitedHealthCareMedicaidMedicaidHMO2nd,UnitedHealthCareMedicareAdvantageHMO,UnitedHealthCareMedicareMedicareAdvantageHMO,WellcareMedicareMedicareAdvantageHMO,WorkersComp
14,2,Gottlieb Memorial Hospital,10005,"FINE NEEDLE ASPIRATION BIOPSY USING ULTRASOUND GUIDANCE, FIRST GROWTH",1964.71,1980.4,436.35,1021.57,530.47,,,,,,,,,,647.97,,,,,,,,,,,,,,,,,,1980.4,,436.35,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,10021,"FINE NEEDLE ASPIRATION BIOPSY, FIRST GROWTH",1135,471.03,471.03,471.03,306.45,,,,,,,,,,,,,,,471.03,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,10060,SIMPLE OR SINGLE DRAINAGE OF SKIN ABSCESS,660.89,603,95.8,218.17,178.44,188.95,,,215.56,,,225.72,,,186.99,,175.72,,,,,215.56,,,,,,95.8,,,,,603,143.71,179.63,,,,Outpatient,,,,,,188.95,,,,,198.4,
14,2,Gottlieb Memorial Hospital,10061,COMPLICATED OR MULTIPLE DRAINAGE OF SKIN ABSCESS,809,809,809,809,218.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,10080,SIMPLE DRAINAGE OF CYST OF TAILBONE,725.22,480.83,161.67,257.84,195.81,,,,215.56,,,,,,,,215.56,,,480.83,,215.56,,,,,,,,,,,,161.67,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,10081,COMPLICATED DRAINAGE OF CYST OF TAILBONE,1715,751.83,751.83,751.83,463.05,,,,,,,,,,,,751.83,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,10120,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, SIMPLE",1902.33,1026,215.56,485.71,513.63,,,,215.56,,,,,,,,215.56,,,,,,,,,,,,,,,,1026,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,10140,DRAINAGE OF BLOOD OR FLUID ACCUMULATION,3422.17,3851,671,2261,923.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,3851,,,,,,Outpatient,,,,,,671,,,,,,
14,2,Gottlieb Memorial Hospital,10160,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",663,663,215.56,439.28,179.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,,215.56,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,10180,COMPLEX DRAINAGE OF WOUND INFECTION AFTER SURGERY,5282,5282,5282,5282,1426.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,5282,,,,,,Outpatient,,,,,,,,,,,,
