LocationID,SystemID,LocationName,BillingCode,ServiceDescription,RevenueCode,GrossCharge,DeidentifiedMinimumCharge,DeidentifiedMaximumCharge,DiscountedCashPrice,AETNA509,AETNAAPCNSP729,AETNABP760,AETNAILPREFERRED139,BCBSBLUECHOICEOPTIONS727,BCBSBLUECHOICEPREFERRED479,BCBSPARINDEMNITYADP505,BCBSPPO424,CIGNAALTERNATIVE668,CIGNABROAD667,CIGNAPLUSNM682,HUMANAHMO299,HUMANAPPO145,UHCCORE346,UHCHMOPPO535,ChargeCode
1,1,Advocate CHRIST MEDICAL CENTER,C9068,*COPPER CU 64 DOTATATE 1 MCI/ML IV SOLN,343,1970,,,,,,,,,,,,,,,,,,,10006150
3,1,Advocate CONDELL,C9068,*COPPER CU 64 DOTATATE 1 MCI/ML IV SOLN,343,1970,,,,,,,,,,,,,,,,,,,10006150
4,1,Advocate GOOD SAMARITAN,C9068,*COPPER CU 64 DOTATATE 1 MCI/ML IV SOLN,343,2230,,,,,,,,,,,,,,,,,,,10006150
6,1,Advocate GOOD SHEPHERD,C9068,*COPPER CU 64 DOTATATE 1 MCI/ML IV SOLN,343,2880,,,,,,,,,,,,,,,,,,,10006150
13,1,Advocate ILLINOIS MASONIC,C9068,*COPPER CU 64 DOTATATE 1 MCI/ML IV SOLN,343,2400,,,,,,,,,,,,,,,,,,,10006150
8,1,Advocate LUTHERAN GENERAL,C9068,*COPPER CU 64 DOTATATE 1 MCI/ML IV SOLN,343,2880,,,,,,,,,,,,,,,,,,,10006150
9,1,Advocate SHERMAN,C9068,*COPPER CU 64 DOTATATE 1 MCI/ML IV SOLN,343,2400,,,,,,,,,,,,,,,,,,,10006150
10,1,Advocate SOUTH SUBURBAN,C9068,*COPPER CU 64 DOTATATE 1 MCI/ML IV SOLN,343,2400,,,,,,,,,,,,,,,,,,,10006150
11,1,Advocate TRINITY,C9068,*COPPER CU 64 DOTATATE 1 MCI/ML IV SOLN,343,2400,,,,,,,,,,,,,,,,,,,10006150
1,1,Advocate CHRIST MEDICAL CENTER,A9591,*FLUOROESTRAIDOL F-18 4-100 MCI/ML IV SOLN,343,1450,,,,,,,,,,,,,,,,,,,10006150
3,1,Advocate CONDELL,A9591,*FLUOROESTRAIDOL F-18 4-100 MCI/ML IV SOLN,343,2010,,,,,,,,,,,,,,,,,,,10006150
4,1,Advocate GOOD SAMARITAN,A9591,*FLUOROESTRAIDOL F-18 4-100 MCI/ML IV SOLN,343,1500,,,,,,,,,,,,,,,,,,,10006150
6,1,Advocate GOOD SHEPHERD,A9591,*FLUOROESTRAIDOL F-18 4-100 MCI/ML IV SOLN,343,1500,,,,,,,,,,,,,,,,,,,10006150
13,1,Advocate ILLINOIS MASONIC,A9591,*FLUOROESTRAIDOL F-18 4-100 MCI/ML IV SOLN,343,1670,,,,,,,,,,,,,,,,,,,10006150
8,1,Advocate LUTHERAN GENERAL,A9591,*FLUOROESTRAIDOL F-18 4-100 MCI/ML IV SOLN,343,2010,,,,,,,,,,,,,,,,,,,10006150
9,1,Advocate SHERMAN,A9591,*FLUOROESTRAIDOL F-18 4-100 MCI/ML IV SOLN,343,2010,,,,,,,,,,,,,,,,,,,10006150
10,1,Advocate SOUTH SUBURBAN,A9591,*FLUOROESTRAIDOL F-18 4-100 MCI/ML IV SOLN,343,1450,,,,,,,,,,,,,,,,,,,10006150
11,1,Advocate TRINITY,A9591,*FLUOROESTRAIDOL F-18 4-100 MCI/ML IV SOLN,343,1450,,,,,,,,,,,,,,,,,,,10006150
1,1,Advocate CHRIST MEDICAL CENTER,87449,"1,3 BETA-D GLUCAN ASSAY",306,175,,,,,,,,,,,,,,,,,,,10004850
3,1,Advocate CONDELL,87449,"1,3 BETA-D GLUCAN ASSAY",306,235,,,,,,,,,,,,,,,,,,,10004850
4,1,Advocate GOOD SAMARITAN,87449,"1,3 BETA-D GLUCAN ASSAY",306,130,,,,,,,,,,,,,,,,,,,10004850
6,1,Advocate GOOD SHEPHERD,87449,"1,3 BETA-D GLUCAN ASSAY",306,130,,,,,,,,,,,,,,,,,,,10004850
13,1,Advocate ILLINOIS MASONIC,87449,"1,3 BETA-D GLUCAN ASSAY",306,120,,,,,,,,,,,,,,,,,,,10004850
8,1,Advocate LUTHERAN GENERAL,87449,"1,3 BETA-D GLUCAN ASSAY",306,120,,,,,,,,,,,,,,,,,,,10004850
9,1,Advocate SHERMAN,87449,"1,3 BETA-D GLUCAN ASSAY",306,190,,,,,,,,,,,,,,,,,,,10004850
10,1,Advocate SOUTH SUBURBAN,87449,"1,3 BETA-D GLUCAN ASSAY",306,305,,,,,,,,,,,,,,,,,,,10004850
11,1,Advocate TRINITY,87449,"1,3 BETA-D GLUCAN ASSAY",306,305,,,,,,,,,,,,,,,,,,,10004850
1,1,Advocate CHRIST MEDICAL CENTER,83520,14-3-3 ETA PROTEIN,301,150,,,,,,,,,,,,,,,,,,,10006867
3,1,Advocate CONDELL,83520,14-3-3 ETA PROTEIN,301,235,,,,,,,,,,,,,,,,,,,10006867
4,1,Advocate GOOD SAMARITAN,83520,14-3-3 ETA PROTEIN,301,170,,,,,,,,,,,,,,,,,,,10006867
6,1,Advocate GOOD SHEPHERD,83520,14-3-3 ETA PROTEIN,301,175,,,,,,,,,,,,,,,,,,,10006867
13,1,Advocate ILLINOIS MASONIC,83520,14-3-3 ETA PROTEIN,301,215,,,,,,,,,,,,,,,,,,,10006867
8,1,Advocate LUTHERAN GENERAL,83520,14-3-3 ETA PROTEIN,301,505,,,,,,,,,,,,,,,,,,,10006867
9,1,Advocate SHERMAN,83520,14-3-3 ETA PROTEIN,301,505,,,,,,,,,,,,,,,,,,,10006867
10,1,Advocate SOUTH SUBURBAN,83520,14-3-3 ETA PROTEIN,301,165,,,,,,,,,,,,,,,,,,,10006867
11,1,Advocate TRINITY,83520,14-3-3 ETA PROTEIN,301,165,,,,,,,,,,,,,,,,,,,10006867
1,1,Advocate CHRIST MEDICAL CENTER,87153,16S RRNA GENE SEQUENCING,306,540,,,,,,,,,,,,,,,,,,,10005411
3,1,Advocate CONDELL,87153,16S RRNA GENE SEQUENCING,306,770,,,,,,,,,,,,,,,,,,,10005411
4,1,Advocate GOOD SAMARITAN,87153,16S RRNA GENE SEQUENCING,306,540,,,,,,,,,,,,,,,,,,,10005411
6,1,Advocate GOOD SHEPHERD,87153,16S RRNA GENE SEQUENCING,306,540,,,,,,,,,,,,,,,,,,,10005411
13,1,Advocate ILLINOIS MASONIC,87153,16S RRNA GENE SEQUENCING,306,1080,,,,,,,,,,,,,,,,,,,10005411
8,1,Advocate LUTHERAN GENERAL,87153,16S RRNA GENE SEQUENCING,306,540,,,,,,,,,,,,,,,,,,,10005411
9,1,Advocate SHERMAN,87153,16S RRNA GENE SEQUENCING,306,540,,,,,,,,,,,,,,,,,,,10005411
10,1,Advocate SOUTH SUBURBAN,87153,16S RRNA GENE SEQUENCING,306,540,,,,,,,,,,,,,,,,,,,10005411
11,1,Advocate TRINITY,87153,16S RRNA GENE SEQUENCING,306,540,,,,,,,,,,,,,,,,,,,10005411
1,1,Advocate CHRIST MEDICAL CENTER,83586,"17 KETOSTEROIDS, TOTAL",301,200,,,,,,,,,,,,,,,,,,,10000991
3,1,Advocate CONDELL,83586,"17 KETOSTEROIDS, TOTAL",301,225,,,,,,,,,,,,,,,,,,,10000991
4,1,Advocate GOOD SAMARITAN,83586,"17 KETOSTEROIDS, TOTAL",301,310,,,,,,,,,,,,,,,,,,,10000991
6,1,Advocate GOOD SHEPHERD,83586,"17 KETOSTEROIDS, TOTAL",301,250,,,,,,,,,,,,,,,,,,,10000991
13,1,Advocate ILLINOIS MASONIC,83586,"17 KETOSTEROIDS, TOTAL",301,190,,,,,,,,,,,,,,,,,,,10000991
8,1,Advocate LUTHERAN GENERAL,83586,"17 KETOSTEROIDS, TOTAL",301,130,,,,,,,,,,,,,,,,,,,10000991
9,1,Advocate SHERMAN,83586,"17 KETOSTEROIDS, TOTAL",301,80,,,,,,,,,,,,,,,,,,,10000991
10,1,Advocate SOUTH SUBURBAN,83586,"17 KETOSTEROIDS, TOTAL",301,130,,,,,,,,,,,,,,,,,,,10000991
11,1,Advocate TRINITY,83586,"17 KETOSTEROIDS, TOTAL",301,130,,,,,,,,,,,,,,,,,,,10000991
1,1,Advocate CHRIST MEDICAL CENTER,84143,17 OH PREGNENOLONE,301,210,,,,,,,,,,,,,,,,,,,10001083
3,1,Advocate CONDELL,84143,17 OH PREGNENOLONE,301,305,,,,,,,,,,,,,,,,,,,10001083
4,1,Advocate GOOD SAMARITAN,84143,17 OH PREGNENOLONE,301,245,,,,,,,,,,,,,,,,,,,10001083
6,1,Advocate GOOD SHEPHERD,84143,17 OH PREGNENOLONE,301,255,,,,,,,,,,,,,,,,,,,10001083
13,1,Advocate ILLINOIS MASONIC,84143,17 OH PREGNENOLONE,301,295,,,,,,,,,,,,,,,,,,,10001083
8,1,Advocate LUTHERAN GENERAL,84143,17 OH PREGNENOLONE,301,235,,,,,,,,,,,,,,,,,,,10001083
9,1,Advocate SHERMAN,84143,17 OH PREGNENOLONE,301,80,,,,,,,,,,,,,,,,,,,10001083
10,1,Advocate SOUTH SUBURBAN,84143,17 OH PREGNENOLONE,301,155,,,,,,,,,,,,,,,,,,,10001083
11,1,Advocate TRINITY,84143,17 OH PREGNENOLONE,301,155,,,,,,,,,,,,,,,,,,,10001083
1,1,Advocate CHRIST MEDICAL CENTER,81405,21 HYDROXYLASE GENE ANALYSIS,310,2250,,,,,,,,,,,,,,,,,,,10005559
3,1,Advocate CONDELL,81405,21 HYDROXYLASE GENE ANALYSIS,310,2250,,,,,,,,,,,,,,,,,,,10005559
4,1,Advocate GOOD SAMARITAN,81405,21 HYDROXYLASE GENE ANALYSIS,310,2250,,,,,,,,,,,,,,,,,,,10005559
6,1,Advocate GOOD SHEPHERD,81405,21 HYDROXYLASE GENE ANALYSIS,310,2250,,,,,,,,,,,,,,,,,,,10005559
